node_id,route_order,route_index,route_t,distance_to_route,zone_id,coord,x,y,ore_id,ore_type,source_node_id
26,25,25,0.0,0.0,102,7210632000,72.1,63.2,202,Tin,7668
27,26,26,0.0,0.0,102,7500677000,75.0,67.7,206,Mithril,7801
28,27,27,0.0,0.0,102,7650754000,76.5,75.4,206,Mithril,7803
29,28,28,0.0,0.0,102,7450764000,74.5,76.4,206,Mithril,7800
30,29,29,0.0,0.0,102,7150763000,71.5,76.3,206,Mithril,7799
31,30,30,0.0,0.0,102,6780774000,67.8,77.4,203,Iron,7740
32,31,31,0.0,0.0,102,6590844000,65.9,84.4,203,Iron,7735
33,32,32,0.0,0.0,102,6170903000,61.7,90.3,203,Iron,7729
34,33,33,0.0,0.0,102,5900913000,59.0,91.3,203,Iron,7724
35,34,34,0.0,0.0,102,5120901000,51.2,90.1,203,Iron,7710
36,35,35,0.0,0.0,102,5400876000,54.0,87.6,203,Iron,7714
37,36,36,0.0,0.0,102,5590827000,55.9,82.7,203,Iron,7718
38,37,37,0.0,0.0,102,5480796000,54.8,79.6,206,Mithril,7796
39,38,38,0.0,0.0,102,5740798000,57.4,79.8,202,Tin,7662
40,39,39,0.0,0.0,102,6450790000,64.5,79.0,203,Iron,7732
41,40,40,0.0,0.0,102,6160767000,61.6,76.7,202,Tin,7664
42,41,41,0.0,0.0,102,5730734000,57.3,73.4,206,Mithril,7798
43,42,42,0.0,0.0,102,5580731000,55.8,73.1,206,Mithril,7797
44,43,43,0.0,0.0,102,4920732000,49.2,73.2,203,Iron,7705
45,44,44,0.0,0.0,102,4770766000,47.7,76.6,203,Iron,7702
46,45,45,0.0,0.0,102,4810789000,48.1,78.9,206,Mithril,7795
47,46,46,0.0,0.0,102,4470821000,44.7,82.1,208,Truesilver,7809
48,47,47,0.0,0.0,102,4340838000,43.4,83.8,202,Tin,7657
49,48,48,0.0,0.0,102,3940854000,39.4,85.4,206,Mithril,7794
50,49,49,0.0,0.0,102,3610866000,36.1,86.6,206,Mithril,7791
51,50,50,0.0,0.0,102,3620925000,36.2,92.5,206,Mithril,7792
52,51,51,0.0,0.0,102,2780838000,27.8,83.8,203,Iron,7671
53,52,52,0.0,0.0,102,2470825000,24.7,82.5,206,Mithril,7767
54,53,53,0.0,0.0,102,2710787000,27.1,78.7,206,Mithril,7769
55,54,54,0.0,0.0,102,2770740000,27.7,74.0,208,Truesilver,7805
56,55,55,0.0,0.0,102,3050741000,30.5,74.1,206,Mithril,7778
57,56,56,0.0,0.0,102,2950713000,29.5,71.3,203,Iron,7674
58,57,57,0.0,0.0,102,3210716000,32.1,71.6,203,Iron,7680
59,58,58,0.0,0.0,102,3470715000,34.7,71.5,203,Iron,7683
60,59,59,0.0,0.0,102,3340831000,33.4,83.1,203,Iron,7682
61,60,60,0.0,0.0,102,3500807000,35.0,80.7,206,Mithril,7790
62,61,61,0.0,0.0,102,3540783000,35.4,78.3,203,Iron,7687
63,62,62,0.0,0.0,102,3940747000,39.4,74.7,204,Silver,7759
64,63,63,0.0,0.0,102,4090739000,40.9,73.9,203,Iron,7694
65,64,64,0.0,0.0,102,4250731000,42.5,73.1,203,Iron,7696
66,65,65,0.0,0.0,102,4170761000,41.7,76.1,203,Iron,7695
67,66,66,0.0,0.0,102,4560776000,45.6,77.6,203,Iron,7700
68,67,67,0.0,0.0,102,4530681000,45.3,68.1,203,Iron,7699
69,68,68,0.0,0.0,102,4640631000,46.4,63.1,202,Tin,7659
70,69,69,0.0,0.0,102,4950644000,49.5,64.4,203,Iron,7707
71,70,70,0.0,0.0,102,5050658000,50.5,65.8,202,Tin,7661
72,71,71,0.0,0.0,102,5890657000,58.9,65.7,203,Iron,7722
73,72,72,0.0,0.0,102,6240603000,62.4,60.3,203,Iron,7730
74,73,73,0.0,0.0,102,6420552000,64.2,55.2,203,Iron,7731
75,74,74,0.0,0.0,102,6590607000,65.9,60.7,203,Iron,7734
76,75,75,0.0,0.0,102,6650678000,66.5,67.8,203,Iron,7737
77,76,76,0.0,0.0,102,6800617000,68.0,61.7,203,Iron,7741
78,77,77,0.0,0.0,102,6750594000,67.5,59.4,203,Iron,7739
79,78,78,0.0,0.0,102,6750579000,67.5,57.9,203,Iron,7738
80,79,79,0.0,0.0,102,6830565000,68.3,56.5,203,Iron,7742
81,80,80,0.0,0.0,102,6980544000,69.8,54.4,203,Iron,7748
82,81,81,0.0,0.0,102,6880484000,68.8,48.4,203,Iron,7746
83,82,82,0.0,0.0,102,6630470000,66.3,47.0,203,Iron,7736
84,83,83,0.0,0.0,102,6850458000,68.5,45.8,203,Iron,7744
85,84,84,0.0,0.0,102,6880422000,68.8,42.2,203,Iron,7745
86,85,85,0.0,0.0,102,6850395000,68.5,39.5,203,Iron,7743
87,86,86,0.0,0.0,102,6560407000,65.6,40.7,203,Iron,7733
88,87,87,0.0,0.0,102,6430386000,64.3,38.6,202,Tin,7666
89,88,88,0.0,0.0,102,6030419000,60.3,41.9,203,Iron,7725
90,89,89,0.0,0.0,102,5900439000,59.0,43.9,203,Iron,7723
91,90,90,0.0,0.0,102,5750431000,57.5,43.1,203,Iron,7720
92,91,91,0.0,0.0,102,5620457000,56.2,45.7,203,Iron,7719
93,92,92,0.0,0.0,102,5150432000,51.5,43.2,203,Iron,7711
94,93,93,0.0,0.0,102,4520498000,45.2,49.8,203,Iron,7697
95,94,94,0.0,0.0,102,4720525000,47.2,52.5,202,Tin,7660
96,95,95,0.0,0.0,102,4530540000,45.3,54.0,203,Iron,7698
97,96,96,0.0,0.0,102,4610577000,46.1,57.7,202,Tin,7658
98,97,97,0.0,0.0,102,3820608000,38.2,60.8,203,Iron,7691
99,98,98,0.0,0.0,102,3680594000,36.8,59.4,203,Iron,7690
100,99,99,0.0,0.0,102,3490602000,34.9,60.2,206,Mithril,7789
101,100,100,0.0,0.0,102,3210589000,32.1,58.9,205,Gold,7763
102,101,101,0.0,0.0,102,3300616000,33.0,61.6,206,Mithril,7785
103,102,102,0.0,0.0,102,3120622000,31.2,62.2,206,Mithril,7780
104,103,103,0.0,0.0,102,3060640000,30.6,64.0,203,Iron,7678
105,104,104,0.0,0.0,102,3190650000,31.9,65.0,206,Mithril,7783
106,105,105,0.0,0.0,102,3330656000,33.3,65.6,206,Mithril,7787
107,106,106,0.0,0.0,102,2920660000,29.2,66.0,203,Iron,7673
108,107,107,0.0,0.0,102,2910616000,29.1,61.6,206,Mithril,7770
109,108,108,0.0,0.0,102,2970597000,29.7,59.7,206,Mithril,7775
110,109,109,0.0,0.0,102,2910581000,29.1,58.1,208,Truesilver,7807
111,110,110,0.0,0.0,102,2770575000,27.7,57.5,203,Iron,7670
112,111,111,0.0,0.0,102,2920563000,29.2,56.3,206,Mithril,7771
113,112,112,0.0,0.0,102,3080530000,30.8,53.0,206,Mithril,7779
114,113,113,0.0,0.0,102,3060512000,30.6,51.2,203,Iron,7677
115,114,114,0.0,0.0,102,3310533000,33.1,53.3,206,Mithril,7786
116,115,115,0.0,0.0,102,3510521000,35.1,52.1,203,Iron,7685
117,116,116,0.0,0.0,102,3560536000,35.6,53.6,203,Iron,7689
118,117,117,0.0,0.0,102,3550552000,35.5,55.2,203,Iron,7688
119,118,118,0.0,0.0,102,4020555000,40.2,55.5,203,Iron,7693
120,119,119,0.0,0.0,102,4010437000,40.1,43.7,203,Iron,7692
121,120,120,0.0,0.0,102,3850382000,38.5,38.2,202,Tin,7655
122,121,121,0.0,0.0,102,4710431000,47.1,43.1,205,Gold,7764
123,122,122,0.0,0.0,102,4840439000,48.4,43.9,203,Iron,7703
124,123,123,0.0,0.0,102,4940422000,49.4,42.2,203,Iron,7706
125,124,124,0.0,0.0,102,4880294000,48.8,29.4,203,Iron,7704
126,125,125,0.0,0.0,102,5510337000,55.1,33.7,203,Iron,7717
127,126,126,0.0,0.0,102,5850334000,58.5,33.4,203,Iron,7721
128,127,127,0.0,0.0,102,6160311000,61.6,31.1,203,Iron,7727
129,128,128,0.0,0.0,102,6230246000,62.3,24.6,202,Tin,7665
130,129,129,0.0,0.0,102,5300242000,53.0,24.2,205,Gold,7765
131,130,130,0.0,0.0,102,4300223000,43.0,22.3,202,Tin,7656
132,131,131,0.0,0.0,102,3400147000,34.0,14.7,206,Mithril,7788
133,132,132,0.0,0.0,102,4670132000,46.7,13.2,203,Iron,7701
134,133,133,0.0,0.0,102,5360142000,53.6,14.2,201,Copper,7649
135,134,134,0.0,0.0,102,5000094000,50.0,9.4,201,Copper,7648
